X                  Y                  Z
        15009.0000              .0000     599614187.3077
        15009.0000              .0000     600895414.2037
        15009.0000              .0000     602176641.0996
        15009.0000              .0000     603457867.9956
        15009.0000              .0000     604739094.8916
        15009.0000              .0000     606020321.7875
        15009.0000              .0000     607301548.6835
        15009.0000              .0000     608582775.5794
        15009.0000              .0000     609864002.4754
        15009.0000              .0000     611145229.3713
        15009.0000              .0000     612426456.2673
        15009.0000              .0000     613707683.1633
        15009.0000              .0000     614988910.0592
        15009.0000              .0000     616270136.9552
        15009.0000              .0000     617551363.8511
        15009.0000              .0000     618832590.7471
        15009.0000              .0000     620113817.6430
        15009.0000              .0000     621395044.5390
        15009.0000              .0000     622676271.4350
        15009.0000              .0000     623957498.3309
        15009.0000              .0000     625238725.2269
        15009.0000              .0000     626519952.1228
        15009.0000              .0000     627801179.0188
        15009.0000              .0000     629082405.9147
        15009.0000              .0000     630363632.8107
        15009.0000              .0000     631644859.7066
        15009.0000              .0000     632926086.6026
        15009.0000              .0000     634207313.4986
        15009.0000              .0000     635488540.3945
        15009.0000              .0000     636769767.2905
        15009.0000              .0000     638050994.1864
        15009.0000              .0000     639332221.0824
        15009.0000              .0000     640613447.9783
        15009.0000              .0000     641894674.8743
        15009.0000              .0000     643175901.7703
        15009.0000              .0000     644457128.6662
        15009.0000              .0000     645738355.5622
        15009.0000              .0000     647019582.4581
        15009.0000              .0000     648300809.3541
        15009.0000              .0000     649582036.2500
        15009.0000              .0000     650863263.1460
        15009.0000              .0000     652144490.0420
        15009.0000              .0000     653425716.9379
        15009.0000              .0000     654706943.8339
        15009.0000              .0000     655988170.7298
        15009.0000              .0000     657269397.6258
        15009.0000              .0000     658550624.5217
        15009.0000              .0000     659831851.4177
        15009.0000              .0000     661113078.3137
        15009.0000              .0000     662394305.2096
        15009.0000              .0000     663675532.1056
        15009.0000              .0000     664956759.0015
        15009.0000              .0000     666237985.8975
        15009.0000              .0000     667519212.7934
        15009.0000              .0000     668800439.6894
        15009.0000              .0000     670081666.5854
        15009.0000              .0000     671362893.4813
        15009.0000              .0000     672644120.3773
        15009.0000              .0000     673925347.2732
        15009.0000              .0000     675206574.1692
        15009.0000              .0000     676487801.0651
        15009.0000              .0000     677769027.9611
        15009.0000              .0000     679050254.8570
        15009.0000              .0000     680331481.7530
        15009.0000              .0000     681612708.6490
        15009.0000              .0000     682893935.5449
        15009.0000              .0000     684175162.4409
        15009.0000              .0000     685456389.3368
        15009.0000              .0000     686737616.2328
        15009.0000              .0000     688018843.1287
        15009.0000              .0000     689300070.0247
        15009.0000              .0000     690581296.9207
        15009.0000              .0000     691862523.8166
        15009.0000              .0000     693143750.7126
        15009.0000              .0000     694424977.6085
        15009.0000              .0000     695706204.5045
        15009.0000              .0000     696987431.4004
        15009.0000              .0000     698268658.2964
        15009.0000              .0000     699549885.1924
        15009.0000              .0000     700831112.0883
        15009.0000              .0000     702112338.9843
        15009.0000              .0000     703393565.8802
        15009.0000              .0000     704674792.7762
        15009.0000              .0000     705956019.6721
        15009.0000              .0000     707237246.5681
        15009.0000              .0000     708518473.4641
        15009.0000              .0000     709799700.3600
        15009.0000              .0000     711080927.2560
        15009.0000              .0000     712362154.1519
        15009.0000              .0000     713643381.0479
        15009.0000              .0000     714924607.9438
        15009.0000              .0000     716205834.8398
        15009.0000              .0000     717487061.7358
        15009.0000              .0000     718768288.6317
        15009.0000              .0000     720049515.5277
        15009.0000              .0000     721330742.4236
        15009.0000              .0000     722611969.3196
        15009.0000              .0000     723893196.2155
        15009.0000              .0000     725174423.1115
        15009.0000              .0000     726455650.0074
        15009.0000              .0000     727736876.9034
        15009.0000              .0000     729018103.7994
        15009.0000              .0000     730299330.6953
        15009.0000              .0000     731580557.5913
        15009.0000              .0000     732861784.4872
        15009.0000              .0000     734143011.3832
        15009.0000              .0000     735424238.2791
        15009.0000              .0000     736705465.1751
        15009.0000              .0000     737986692.0711
        15009.0000              .0000     739267918.9670
        15009.0000              .0000     740549145.8630
        15009.0000              .0000     741830372.7589
        15009.0000              .0000     743111599.6549
        15009.0000              .0000     744392826.5508
        15009.0000              .0000     745674053.4468
        15009.0000              .0000     746955280.3428
        15009.0000              .0000     748236507.2387
        15009.0000              .0000     749517734.1347
        15009.0000              .0000     750798961.0306
        15009.0000              .0000     752080187.9266
        15009.0000              .0000     753361414.8225
        15009.0000              .0000     754642641.7185
        15009.0000              .0000     755923868.6145
        15009.0000              .0000     757205095.5104
        15009.0000              .0000     758486322.4064
        15009.0000              .0000     759767549.3023
        15009.0000              .0000     761048776.1983
        15009.0000              .0000     762330003.0942
        15009.0000              .0000     763611229.9902
        15009.0000              .0000     764892456.8862
        15009.0000              .0000     766173683.7821
        15009.0000              .0000     767454910.6781
        15009.0000              .0000     768736137.5740
        15009.0000              .0000     770017364.4700
        15009.0000              .0000     771298591.3659
        15009.0000              .0000     772579818.2619
        15009.0000              .0000     773861045.1578
        15009.0000              .0000     775142272.0538
        15009.0000              .0000     776423498.9498
        15009.0000              .0000     777704725.8457
        15009.0000              .0000     778985952.7417
        15009.0000              .0000     780267179.6376
        15009.0000              .0000     781548406.5336
        15009.0000              .0000     782829633.4295
        15009.0000              .0000     784110860.3255
        15009.0000              .0000     785392087.2215
        15009.0000              .0000     786673314.1174
        15009.0000              .0000     787954541.0134
        15009.0000              .0000     789235767.9093
        15009.0000              .0000     790516994.8053
        15009.0000              .0000     791798221.7012
        15009.0000              .0000     793079448.5972
        15009.0000              .0000     794360675.4932
        15009.0000              .0000     795641902.3891
        15009.0000              .0000     796923129.2851
        15009.0000              .0000     798204356.1810
        15009.0000              .0000     799485583.0770
        15009.0000              .0000     800766809.9729
        15009.0000              .0000     802048036.8689
        15009.0000              .0000     803329263.7649
        15009.0000              .0000     804610490.6608
        15009.0000              .0000     805891717.5568
        15009.0000              .0000     807172944.4527
        15009.0000              .0000     808454171.3487
        15009.0000              .0000     809735398.2446
        15009.0000              .0000     811016625.1406
        15009.0000              .0000     812297852.0366
        15009.0000              .0000     813579078.9325
        15009.0000              .0000     814860305.8285
        15009.0000              .0000     816141532.7244
        15009.0000              .0000     817422759.6204
        15009.0000              .0000     818703986.5163
        15009.0000              .0000     819985213.4123
        15009.0000              .0000     821266440.3082
        15009.0000              .0000     822547667.2042
